claim_id,paper_location,claim_text,evidence_type,evidence_run_ids,data_scope,uncertainty,counter_evidence,verdict,allowed_statement,correction_proposal,depends_on,applied_status
CE-001,paper_draft.md:350 (Table 6),AI Hub reference MMTransformer = macro F1 0.9109 / Acc 91.92%,공급자 활용 가이드라인 요약 (사용자 제공 대화 이력),none,불명 - 어느 split 에서 어떤 averaging 으로 산출됐는지 확정 불가,출처가 배포 패키지에 없음. 연구노트_14:188 이 출처를 '대화 이력'으로 기록,공식 배포물(readme/PDF/소스/weights) 어디에도 0.9109 없음. train_manager.py 0바이트로 averaging 확정 불가,REFUTED(출처),공급자 활용 가이드라인이 보고한 수치. 아키텍처·프로토콜 미공개로 직접 비교 불가,"Table 6 행 삭제, 또는 'provider-reported, protocol undisclosed, not directly comparable' 로 재표기",B-6,APPLIED :350 행 재표기
CE-002,paper_draft.md:360,AI Hub reference MMTransformer 는 공급자 가이드라인이 보고한 ViT + cross-attention baseline,공급자 문서 텍스트,none,공식 배포 패키지,없음 - 반증이 결정적,"best_model.pth state_dict: LSTM(8,128,3층)+Conv(1,16,32,64)+fc(128,19200)+fc(4,256), attention/patch-embedding/normalization 텐서 0개. README.md:1 '멀티모달 LSTM 기반'. readme 의 mmtransformer 링크는 CVPR-2021 궤적예측 모델",REFUTED,공급자 공식 모델은 Multimodal LSTM+CNN 이며 Transformer 가 아니다,'ViT + cross-attention' 서술 삭제. 공식 아키텍처 비교가 필요하면 V1 로 대체,,APPLIED :360 공식 모델 정체·프로토콜 비공개 명시
CE-003,paper_draft.md:364,Compared to the AI Hub reference - evaluated under identical labels and dataset splits - V2+ improves F1 by 4.48pp ... despite an estimated 3-5x fewer parameters,주장,none,공식 프로토콜과 우리 프로토콜,없음,"공식 protocol: stride 1 window 를 랜덤 80/10/10 분할, first-timestep label, session 분할 없음, 정규화 없음, PM1.0/PM10 순서 반대, 사전배포 40폴더. 파라미터도 2,833,412 로 V2+ 2,849,940 과 거의 같음",REFUTED,공급자 프로토콜은 우리와 호환되지 않는다. 파라미터 수도 3-5배 차이가 아니다,'identical labels and dataset splits' 및 '3-5x fewer parameters' 삭제. 프로토콜 차이를 각주로 명시,,"APPLIED :364 비교 대상 V1 로 교체, 허위 동등성·파라미터 주장 삭제"
CE-004,"paper_draft.md:366, :528","세 개의 독립적인 cross-attention/transformer baseline (MMTransformer 0.9109, V4 0.9112, V5 0.9252) 이 0.91-0.93 에 몰리므로 cross-attention 에 경험적 상한이 있다",추론,EXP-LEGACY-ablation-v4; EXP-LEGACY-catft-v5,AI Hub val 4대,남은 두 점은 모두 우리 내부 변형이며 독립 구현이 아니다,세 점 중 하나(MMTransformer)가 transformer 가 아님(CE-002). 분산·동일 튜닝 예산 통제 없음,REFUTED(전제),우리 CATFT 변형 두 개가 이 조건에서 0.91-0.93 을 보였다,'three independent' 및 'systematic ceiling for cross-attention' 논증 철회. 관측 범위로 한정,,APPLIED :366/:528 cross-attention 상한 논증 철회
CE-005,"paper_draft.md:327, :334",V1 (Baseline): Multimodal LSTM as provided in the original AI Hub codebase / 모든 모델이 동일 파이프라인·정규화·샘플링·평가 프로토콜 사용,코드 확인,EXP-LEGACY-baseline-v1,AI Hub Training 32대 / Validation 4대,없음,없음. 단 :334 의 '모든 모델' 범위에 Table 6 의 MMTransformer 행은 포함되지 않는다,CONFIRMED,"V1 은 공급자 공식 아키텍처를 우리 프로토콜로 재학습한 것이다 (파라미터 2,833,412 일치)",유지. :334 의 범위에서 외부 보고치 행을 제외한다고 명시. CE-001~004 정정 시 공식 비교 대상으로 V1 을 지목,,"NO CHANGE NEEDED - :327 서술 정확, :364 에서 V1 을 공식 비교 대상으로 지목"
CE-010,"paper_draft.md:390 (Table 8), :513",세 요소는 개별로는 무효하거나 부정적이며 결합 시 강한 시너지(+1.20% F1)를 보인다,실행 기록,EXP-LEGACY-ablation-v2; EXP-LEGACY-v2a-multiscale-only; EXP-LEGACY-v2b-se-only; EXP-LEGACY-v2c-supcon-only; EXP-LEGACY-v2plus-seed42,"AI Hub val 4대, 단일 seed","ablation 20 epoch vs V2+ 30 epoch 예산 불일치. V2 는 history 에 lr 시계열이 없어 LR schedule 동일성 미검증. V2 도 best@19/20 으로 예산 한계. 초기화 미통제(F03), V2 단일 실행으로 분산 없음. 2요소 조합 3개 없음","V2+ 보고값 0.955000 은 epoch 25 의 LR 감소(5e-4 -> 2.5e-4) 직후 epoch 27 에서 나왔다. plateau 기반 scheduler 이므로 30 epoch 실행을 20 에서 자르는 것은 20 epoch 예산 실행과 다르다. 따라서 +1.20 %p 를 세 요소 효과로도 예산 효과로도 분해할 수 없다. 참고: V2+ 내부 epoch 21-30 구간 차이 0.004991, V2+ 3-seed F1 범위 0.001024",CONFOUNDED (분해 불가),이 예산·이 설정에서 단독 요소는 무효하거나 부정적이었고 결합 구성이 더 높았다. 두 arm 의 학습 예산이 다르고 LR schedule 동일성이 검증되지 않았으므로 이득의 원인을 요소 효과로 귀속하지 않는다,"Table 8 각주에 (i) ablation 20 epoch / V2+ 30 epoch, (ii) V2 의 LR schedule 미기록, (iii) V2 best@19/20 으로 V2 도 예산 한계, (iv) 단일 seed 를 명시. 'synergy/interaction' 표현은 EXP-20260907-003 이후. 예산 기여 수치는 제시하지 않는다",EXP-20260907-003,PARTIAL - Table 8 각주에 예산·단일 seed 공개 + PENDING(EXP-20260907-003). interaction 주장 보류
CE-011,paper_draft.md:511 (Table 15 H2),SupCon (lambda=0.1) 이 single-lag baseline 대비 Normal-Mild 오분류를 >=40% 감소 -> Supported,실행 기록,EXP-LEGACY-ablation-v2; EXP-LEGACY-v2plus-seed42; EXP-LEGACY-v2plus-seed123; EXP-LEGACY-v2plus-seed456,AI Hub val 4대,같은 행의 F1 은 3-seed 인데 NM 24 는 seed 42 단일 실행,"V2+ NM = 24/29/33. V2(45) 대비 best 46.7% PASS, 3-seed 평균 36.3% FAIL, worst 26.7% FAIL. SupCon 단독(V2c) NM 46 으로 V2 보다 나쁘다(Table 8 자체 기록). args.supcon_weight=0.3 (H2 는 0.1)",NOT SUPPORTED (as stated),3요소 결합 구성이 V2 대비 NM 을 줄였다. 감소율은 seed 에 따라 26.7-46.7%,NM 을 F1 과 동일하게 3-seed 로 보고. 예측문의 SupCon 단독 귀속을 결합 효과로 정정하거나 고정 backbone SupCon-only 비교로 근거 교체. lambda 를 실행값 0.3 으로 정정,EXP-20260907-003,PARTIAL - H2 판정에 단일 seed·요소 귀속·lambda 0.3 정정 + PENDING. 새 감소율 제시 안 함
CE-012,연구노트_13:79 및 H2 임계치 표현,사전 등록 40% 임계치 초과,문서 기록,none,문서 이력,없음,"연구노트_13:50 '원 draft(2026-04-09 완성)는 명시적 RQ/H 가 없었다', :54 'RQ1-3 H1-3 블록 삽입'. 결과가 있는 원고에 임계치를 사후 삽입",REFUTED,사후 정식화(post-hoc formalization)한 임계치,'preregistered' 표현 제거. 사후 정식화임을 명시,,APPLIED :49 및 H2 판정에 post-hoc 명시
CE-013,"paper_draft.md:52, :512 (H3)",V2+ 가 외부 baseline 을 능가하며 sub-10 ms per-inference (Jetson-class edge) 를 만족 -> Supported,문서 기록(데스크톱 실측),none,RTX 6000 데스크톱 ONNX GPU/CPU,Jetson 실측이 아니다,"Jetson 실측: ORT CUDA EP 16.27 ms/sample, ORT CPU EP 46.45 ms/sample, ORT TensorRT EP 첫 run SIGSEGV 2/2 (JETSON_ENVIRONMENT.md:277-285). trtexec FP32 4.88 / FP16 3.33 ms 는 GPU compute only",NOT SUPPORTED (Jetson 근거 없음),"데스크톱 GPU 에서 2.61 ms, CPU 7.27 ms. Jetson 실측은 ORT CUDA 16.27 ms 이며 1 Hz 감시에는 충분하다",H3 의 지연 조건을 Jetson 실측으로 교체하고 판정을 재작성. hardware/runtime/batch/warm-up/전처리 포함 여부를 같은 표에 명시,,"APPLIED H3 판정을 정확도/지연 분리, 지연 부분 NOT SUPPORTED"
CE-014,paper_draft.md:500,All backends achieve sub-10 ms inference,문서 기록,none,Table 14 의 4개 backend,없음,"Jetson 항목은 추정치. 실측 ORT CPU 46.45 ms, ORT CUDA 16.27 ms 로 두 backend 가 10 ms 초과",REFUTED,데스크톱 backend 는 10 ms 미만. Jetson backend 는 실측 16.27-46.45 ms,'All backends' 를 실측 backend 별로 분리 기술,,APPLIED 지연 문단을 Jetson 실측 기준으로 재작성
